Unnamed: 0,additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor
32902,1 rooms( pooja room ),,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,524 sq ft",2,3,3 BHK Apartment ,1127 sq ft,East,"6, ",Bavdhan,New,4,Garden View,Freehold,Dec 2018,11000000.0,"₹ 7,217/ sq ft ",Builder Luxurious Apartment,,Under Construction,12
32903,,8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,485 sq ft",2,3,3 BHK Apartment ,1150 sq ft,East,"6, ",Wakad,Resale,1,Garden View,Freehold,,7700000.0,"₹ 5,185/ sq ft ",Omega Paradise,60 feet,"Ready to move,Unfurnished",10
32904,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,610 sq ft",,, Residential Plot ,,West,,Naigaon Peth Road,Resale,1,,,,1771000.0,"₹ 1,100/ sq ft ",,30 feet,Unfurnished,
32905,,10 - 11 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",550 sq ft,,1,1 BHK Apartment ,,West,"2, ",Dhanori,Resale,3,Garden View,Freehold,,2400000.0,"₹ 4,363/ sq ft ",Puram R K Puram,,"Ready to move,Unfurnished",3
32906,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","4,950 sq ft",,, Residential Plot ,,,,Raikar Mala Road,New,,,,,1700000.0,₹ 343/ sq ft ,Builder shivsagar raikar mala,,,
32907,1 rooms( pooja room ),9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,400 sq ft,1,1,1 BHK Apartment ,300 sq ft,East,"3, ",Hadapsar,Resale,1,Road View,Freehold,,2300000.0,"₹ 5,750/ sq ft ",Naiknavare Swapnapurti,20 feet,"Ready to move,Unfurnished",3
32908,,5 years,"Power Backup,24 X 7 Security,Intercom","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",600 sq ft,1,1,1 BHK Apartment ,,,,Bavdhan,Resale,,,,,3500000.0,"₹ 5,833/ sq ft ",DSK DSK Janhavi,,"Ready to move,Unfurnished",
32909,,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"1,175 sq ft",2,3,3 BHK Apartment ,900 sq ft,,,Wagholi,Resale,,,,,5700000.0,"₹ 4,851/ sq ft ",Gagan Micasaa,,"Ready to move,Unfurnished",
32910,,8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Children's play area,Sports Facility","1,580 sq ft",1,2,2 BHK Apartment ,1100 sq ft,,,Hadapsar,Resale,,,,,9400000.0,"₹ 5,949/ sq ft ",Magarpatta Trillium,,"Ready to move,Unfurnished",
32911,,8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,389 sq ft",2,3,3 BHK Apartment ,1000 sq ft,,,Sopan Baug,Resale,,,,,11000000.0,"₹ 7,919/ sq ft ",Raviraj Yellow Blossoms,,"Ready to move,Unfurnished",
32912,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,550 sq ft",2,3,3 BHK Apartment ,1100 sq ft,,,Kharadi,Resale,,,,,11000000.0,"₹ 7,096/ sq ft ",Pentagon Fortune East,,"Ready to move,Unfurnished",
32913,,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,School,Hospital,ATM",Sports Facility,"1,170 sq ft",,2,2 BHK Apartment ,,,"10, ",Wakad,Resale,,,Co-Operative Society,,7300000.0,"₹ 6,239/ sq ft ",Pristine Prolife,,"Ready to move,Unfurnished",12
32914,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,303 sq ft",,2,2 BHK Apartment ,,,"5, ",Balewadi,Resale,,,Co-Operative Society,,9300000.0,"₹ 7,137/ sq ft ",Kunal Aspiree,,"Ready to move,Unfurnished",12
32915,,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",,764 sq ft,,1,1 BHK Apartment ,588 sq ft,,,Undri,New,,,,,3007100.0,"₹ 3,935/ sq ft ",VTP Urban Rise,,Ready to move,
32916,,,"Lift Available,Car Parking,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Landscaped Gardens","24 X 7 Security,Sports Facility",575 sq ft,,1,1 BHK Apartment ,426 sq ft,,,Undri,New,,,,Feb 2018,2408750.0,"₹ 4,189/ sq ft ",Gagan Cascades,,Under Construction,
32917,"2 rooms( study room, pooja room )",0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",935 sq ft,2,2,2 BHK Apartment ,655 sq ft,East,"7, ",Mundhwa,New,2,"Corner, Garden View, Pool View, Road View",Freehold,,5600000.0,"₹ 5,989/ sq ft ",Builder Venkatesh Graffitti,50 feet,Ready to move,12
32918,,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","1,265 sq ft",3,2,3 BHK Apartment ,,West,"10, ",Tingre Nagar,Resale,,"Road View, Garden View",Freehold,,8500000.0,"₹ 6,719/ sq ft ",Kumar Samruddhi Society,,"Ready to move,Unfurnished",10
32919,,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens",600 sq ft,1,1,1 BHK Apartment ,,East,"8, ",Tingre Nagar,Resale,,"Road View, Garden View",Freehold,,3100000.0,"₹ 5,166/ sq ft ",Kumar Samruddhi Society,,"Ready to move,Unfurnished",10
32920,,5 - 6 years,"Car Parking,Children's play area,Jogging Track","Lift Available,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,180 sq ft",2,1,2 BHK Apartment ,,East,"6, ",Viman Nagar,Resale,,"Road View, Garden View",Freehold,,7800000.0,"₹ 6,610/ sq ft ",Gokul Elegance,,"Ready to move,Unfurnished",10
32921,,0 - 1 year,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",840 sq ft,2,2,2 BHK Apartment ,,East,"2, ",Kiwale,Resale,,,,,3200000.0,"₹ 3,809/ sq ft ",,,"Ready to move,Unfurnished",4
32922,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,570 sq ft,1,1,1 BHK Apartment ,,,"1, ",Hadapsar,Resale,,,,,2500000.0,"₹ 4,385/ sq ft ",Dreams Solace,20 feet,"Ready to move,Unfurnished",5
32923,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",Sports Facility,870 sq ft,2,2,2 BHK Apartment ,,,,Hadapsar,Resale,,,,,4600000.0,"₹ 5,287/ sq ft ",Mantra Majestica,,"Ready to move,Unfurnished",
32924,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,890 sq ft,1,1,1 BHK Apartment ,,,,Hadapsar,Resale,,,,,4400000.0,"₹ 4,943/ sq ft ",Runwal Seagull,,"Ready to move,Unfurnished",
32925,,3 - 4 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,019 sq ft",1,1,2 BHK Apartment ,,North,"8, ",Vishrantwadi,Resale,,"Road View, Garden View",Freehold,,6000000.0,"₹ 5,888/ sq ft ",,,"Ready to move,Unfurnished",11
32926,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,135 sq ft",1,1,2 BHK Apartment ,,West,"4, ",Kharadi,Resale,,"Road View, Garden View",Freehold,,7500000.0,"₹ 6,607/ sq ft ",,,"Ready to move,Unfurnished",9
32927,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,200 sq ft",2,1,2 BHK Apartment ,,North,"7, ",Kharadi,Resale,,"Road View, Garden View",Freehold,,7100000.0,"₹ 5,916/ sq ft ",,,"Ready to move,Unfurnished",9
32928,,5 - 6 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,425 sq ft",1,2,3 BHK Apartment ,,East,"2, ",Dhanori,Resale,,"Road View, Garden View",Freehold,,7100000.0,"₹ 4,982/ sq ft ",Atria Society,,"Ready to move,Unfurnished",5
32929,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,000 sq ft",1,1,2 BHK Apartment ,,North,"8, ",Viman Nagar,Resale,,Garden View,Freehold,,6200000.0,"₹ 6,200/ sq ft ",,,"Ready to move,Unfurnished",10
32930,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,350 sq ft",1,1,2 BHK Apartment ,,North,"7, ",Wadgaon Sheri,Resale,,"Road View, Garden View",Freehold,,8800000.0,"₹ 6,518/ sq ft ",BramhaCorp Sun City Phase II,,"Ready to move,Unfurnished",9
32931,,5 - 6 years,"Wardrobe,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,100 sq ft",1,1,2 BHK Apartment ,,East,"7, ",Vishrantwadi,Resale,,"Road View, Garden View",Freehold,,8300000.0,"₹ 7,545/ sq ft ",,,"Ready to move,Semi-Furnished",10
32932,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,005 sq ft",1,1,2 BHK Apartment ,,West,"3, ",Tingre Nagar,Resale,,"Road View, Garden View",Freehold,,5000000.0,"₹ 4,975/ sq ft ",Defence Housing Promoters and Builders Shaurya Homes,,"Ready to move,Unfurnished",5
32933,,5 - 6 years,"Wardrobe,Sofa,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection","1,200 sq ft",1,1,2 BHK Apartment ,,North,"8, ",Kharadi,Resale,,"Road View, Garden View",Freehold,,8000000.0,"₹ 6,666/ sq ft ",,,"Ready to move,Semi-Furnished",10
32934,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,237 sq ft",2,2,3 BHK Apartment ,,North,"8, ",Kharadi,Resale,,"Road View, Garden View",Freehold,,10500000.0,"₹ 8,488/ sq ft ",Pentagon Fortune East,,"Ready to move,Unfurnished",8
32935,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM,Wardrobe,Sofa,BED","Children's play area,Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection","1,700 sq ft",2,2,3 BHK Apartment ,,East,"11, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,13500000.0,"₹ 7,941/ sq ft ",Kumar Kumar Kruti,,"Ready to move,Semi-Furnished",12
32936,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,150 sq ft",2,1,2 BHK Apartment ,,West,"2, ",Viman Nagar,Resale,,"Road View, Garden View",Freehold,,8000000.0,"₹ 6,956/ sq ft ",,,"Ready to move,Unfurnished",8
32937,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,340 sq ft",2,1,3 BHK Apartment ,,North,"2, ",Tingre Nagar,Resale,,"Road View, Garden View",Freehold,,8000000.0,"₹ 5,970/ sq ft ",Tirupati Group Campus,,"Ready to move,Unfurnished",7
32938,,5 - 6 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,350 sq ft",2,1,3 BHK Apartment ,,West,"3, ",Kharadi,Resale,,"Road View, Garden View",Freehold,,8000000.0,"₹ 5,925/ sq ft ",,,"Ready to move,Unfurnished",7
32939,,11 years,"Car Parking,24 X 7 Security,Swimming Pool,Wardrobe,BED","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,800 sq ft",2,5,5 BHK Villa ,,,,NIBM,Resale,,,,,29000000.0,"₹ 10,357/ sq ft ",,,"Ready to move,Semi-Furnished",
32940,,7 - 8 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,140 sq ft",2,3,3 BHK Villa ,1680 sq ft,East,"1, ",Wakad,Resale,2,Garden View,Freehold,,13500000.0,"₹ 6,308/ sq ft ",Bhandari Edenn Garden,60 feet,"Ready to move,Unfurnished",1
32941,,,"Power Backup,Wardrobe","Lift Available,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",647 sq ft,1,1,1 BHK Apartment ,,,,hingne Khurd,Resale,,,,,3300000.0,"₹ 5,100/ sq ft ",Suvidha Damodar Nisarg,,"Ready to move,Unfurnished",
32942,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",715 sq ft,1,1,2 BHK Apartment ,,,,Dhayari Phata,Resale,,,,,3100000.0,"₹ 4,335/ sq ft ",Builder ganesh prasad co operative society dhayari phata,,"Ready to move,Unfurnished",
32943,,0 - 1 year,"Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Golf Course,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Lift Available,24 X 7 Security","1,299 sq ft",,3,3 BHK Apartment ,,,,Mundhwa,Resale,,,,,8800000.0,"₹ 6,774/ sq ft ",Venkatesh Graffiti,,"Ready to move,Unfurnished",
32944,,2 - 3 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,150 sq ft",,2,2 BHK Apartment ,,East,1,Kalyani Nagar,Resale,,,Co-Operative Society,,11500000.0,"₹ 10,000/ sq ft ",Builder Fortiliza Society,,"Ready to move,Unfurnished",
32945,,2 - 3 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",800 sq ft,,1,1 BHK Apartment ,,East,4,Hadapsar,Resale,,,Co-Operative Society,,3300000.0,"₹ 4,125/ sq ft ",Builder Dreams Society,,"Ready to move,Unfurnished",
32946,,6 - 7 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",583 sq ft,,1,1 BHK Apartment ,,East,3,Hadapsar,Resale,,,Co-Operative Society,,2900000.0,"₹ 4,974/ sq ft ",,,"Ready to move,Unfurnished",
32947,,11 - 12 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",790 sq ft,,2,2 BHK Apartment ,,East,1,Manjari,Resale,,,Co-Operative Society,,2800000.0,"₹ 3,544/ sq ft ",Builder More Hights,,"Ready to move,Unfurnished",
32948,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",550 sq ft,,1,1 BHK Apartment ,,East,10,Hadapsar,Resale,,,Co-Operative Society,,2550000.0,"₹ 4,636/ sq ft ",Builder Dream Aakurti,,"Ready to move,Unfurnished",
32949,,11 - 12 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",580 sq ft,,1,1 BHK Apartment ,,East,1,Hadapsar,Resale,,,Co-Operative Society,,3000000.0,"₹ 5,172/ sq ft ",,,"Ready to move,Unfurnished",
32950,,11 - 12 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",950 sq ft,,2,2 BHK Apartment ,,East,3,Hadapsar,Resale,,,Co-Operative Society,,3800000.0,"₹ 4,000/ sq ft ",Builder Silver Tower,,"Ready to move,Unfurnished",
32951,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,605 sq ft,,1,1 BHK Apartment ,,East,10,Hadapsar,Resale,,,Co-Operative Society,,2750000.0,"₹ 4,545/ sq ft ",Dreams Aakruti,,"Ready to move,Unfurnished",
32952,,11 - 12 years,"Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Lift Available,Children's play area,Club House,Sports Facility,Jogging Track",900 sq ft,,2,2 BHK Apartment ,,East,3,Wanowrie,New,,,Co-Operative Society,,6800000.0,"₹ 7,555/ sq ft ",Parmar Garden,,Ready to move,
32953,,11 - 12 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,450 sq ft",,3,3 BHK Apartment ,,East,1,Wanowrie,Resale,,,Co-Operative Society,,8000000.0,"₹ 5,517/ sq ft ",Amar Enclave,,"Ready to move,Unfurnished",
32954,,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","Children's play area,Sports Facility","1,000 sq ft",1,2,2 BHK Apartment ,900 sq ft,,,NIBM Annex Mohammadwadi,Resale,,,,,4200000.0,"₹ 4,200/ sq ft ",Dreams Elegance,,"Ready to move,Unfurnished",
32955,,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Golf Course,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,950 sq ft,1,2,2 BHK Apartment ,,,,Hadapsar,Resale,,,,,9500000.0,"₹ 10,000/ sq ft ",Amanora Future Towers,,"Ready to move,Unfurnished",
32956,,9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",,900 sq ft,1,2,2 BHK Apartment ,,,,Manjari,Resale,,,,,4100000.0,"₹ 4,555/ sq ft ",Sankla PS Villa,,"Ready to move,Unfurnished",
32957,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility",950 sq ft,1,2,2 BHK Apartment ,850 sq ft,,,Hadapsar,Resale,,,,,3600000.0,"₹ 3,789/ sq ft ",Dreams Estate,,"Ready to move,Unfurnished",
32958,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens","Children's play area,Sports Facility","1,000 sq ft",2,2,2 BHK Apartment ,,,,NIBM Annex Mohammadwadi,Resale,,,,,4000000.0,"₹ 4,000/ sq ft ",Dreams Elegance,,"Ready to move,Unfurnished",
32959,,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,570 sq ft,,1,1 BHK Apartment ,,,"6, ",Manjari,Resale,,,,,2500000.0,"₹ 4,385/ sq ft ",Ram Sampanna Homes,20 feet,"Ready to move,Unfurnished",7
32960,,1 - 2 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",625 sq ft,1,1,1 BHK Apartment ,,East,"3, ",Undri Hadapsar Road,New,1,,Power of Attorney,,2500000.0,"₹ 4,000/ sq ft ",,30 feet,Ready to move,7
32961,,0 - 1 year,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",950 sq ft,1,2,2 BHK Apartment ,,East,"2, ",Undri,New,1,"Garden View, Pool View, Road View",Power of Attorney,,4000000.0,"₹ 4,210/ sq ft ",,20 feet,Ready to move,11
32962,,1 - 2 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",625 sq ft,1,1,1 BHK Apartment ,,East,"3, ",Manjari,New,1,"Corner, Garden View, Pool View, Road View",Power of Attorney,,3000000.0,"₹ 4,800/ sq ft ",,30 feet,Ready to move,7
32963,,20 - 21 years,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",700 sq ft,,1,2 BHK Independent Floor ,,East,"1, ",Sinhgad Road,Resale,3,Road View,Co-Operative Society,,5000000.0,"₹ 7,142/ sq ft ",,,"Ready to move,Unfurnished",4
32964,,4 - 5 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,300 sq ft",2,2,2 BHK Apartment ,900 sq ft,East,"8, ",Baner,Resale,2,"Garden View, Pool View, Road View",Freehold,,7400000.0,"₹ 5,692/ sq ft ",Phadnis Sahil Serene,,"Ready to move,Unfurnished",12
32965,,4 - 5 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility","1,300 sq ft",2,2,2 BHK Apartment ,950 sq ft,East,"8, ",Baner,Resale,2,Road View,Co-Operative Society,,7400000.0,"₹ 5,692/ sq ft ",Phadnis Sahil Serene,100 feet,"Ready to move,Unfurnished",12
32966,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,350 sq ft",,3,3 BHK Apartment ,,East,"6, ",Hadapsar,New,,,Co-Operative Society,,7100000.0,"₹ 5,259/ sq ft ",Runwal Seagull,,Ready to move,12
32967,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,950 sq ft,,2,2 BHK Apartment ,,East,"5, ",NIBM Annex Mohammadwadi,New,,,Freehold,,4400000.0,"₹ 4,631/ sq ft ",Suyash Nisarg,,Ready to move,12
